Name,Mj,Mj_err1,Mj_err2,Rj,Rj_err1,Rj_err2,P,e,e_err,Ms,Ms_err1,Ms_err2,Rs,Rs_err1,Rs_err2,Teff,T_err,FeH,FeH_err,Density_cgs,Density_err_upper_cgs,Density_err_lower_cgs
TIC-320687387B,96.2,1.9,2.0,1.14,0.02,0.02,29.77,0.366,0.003,1.08,-0.03,0.03,1.16,-0.02,0.02,5780.0,80.0,0.30,0.08,80.51851873125295,4.526377111065778,4.556457580280372
OGLE-TR-122b,96.4,9.4,9.4,1.17,0.23,0.13,7.27,0.205,0.008,0.98,-0.14,0.14,1.05,-0.09,0.2,5700.0,300.0,0.15,0.36,74.63709152357683,44.614365914110394,25.921686896790256
TOI-1213b,97.5,4.4,4.2,1.66,0.78,0.55,27.22,0.498,0.003,0.99,-0.06,0.07,0.99,-0.04,0.04,5590.0,150.0,0.25,0.14,26.431122668452787,37.27741764605601,26.296559166137055
K2-76b,98.7,2.0,2.0,0.89,0.05,0.03,11.99,0.255,0.007,0.96,-0.03,0.03,1.17,-0.03,0.06,5747.0,70.0,0.01,0.04,173.61305987194174,29.471352950209177,17.905380687009604
CoRoT-101186644,100.6,11.5,11.5,1.01,0.25,0.06,20.68,0.402,0.006,1.2,-0.2,0.2,1.07,0.0,0.07,6090.0,200.0,0.20,0.20,121.0790815897737,90.9693372130969,25.63599275831904
TOI-3122b,101.5,4.1,4.8,1.235,0.075,0.057,6.1836,0.4704,0.008,1.247,-0.091,0.074,1.336,-0.045,0.062,6120.0,220.0,0.29,0.11,66.81907021818598,12.469145088374088,9.776614694381465
TOI-4759b,102.0,7.8,5.3,0.993,0.082,0.075,9.65779,0.2424,0.0032,1.242,-0.097,0.15,1.927,0.0,0.11,5680.0,150.0,0.28,0.17,129.17774083688712,33.49166912309841,30.0296393863671
J2343+29Ab,102.7,7.3,7.3,1.24,0.07,0.07,16.95,0.161,0.002,0.86,-0.1,0.1,0.85,-0.06,0.05,5150.0,90.0,0.07,0.17,66.79449132517104,12.26793968891179,12.26793968891179
EBLMJ0954-23Ab,102.8,5.9,6.0,0.98,0.17,0.17,7.57,0.042,0.001,1.17,-0.08,0.08,1.23,0.0,0.17,6406.0,124.0,-0.01,0.14,135.4409983339748,70.91194681603132,70.92651035848057
KOI-686b,103.4,4.8,4.8,1.22,0.04,0.04,52.51,0.556,0.004,0.98,-0.07,0.07,1.04,-0.03,0.03,5834.0,100.0,-0.06,0.13,70.6116411491906,7.68006353158077,7.68006353158077
TIC-220568520b,107.2,5.2,5.2,1.25,0.02,0.02,18.56,0.096,0.003,1.03,-0.04,0.04,1.01,-0.01,0.01,5589.0,81.0,0.26,0.07,68.06126317045783,4.644638402956732,4.644638402956732
TOI-4462b,107.6,6.6,5.8,1.286,0.071,0.058,4.9133,0.0202,0.0037,1.36,-0.11,0.13,2.149,-0.064,0.085,5960.0,120.0,0.09,0.16,62.73712666071182,11.080811036463942,9.137365704407907
TOI-5240b,127.6,5.0,5.0,1.7,0.11,0.11,4.1793,0.0109,0.012,1.744,-0.096,0.096,2.38,-0.12,0.12,7340.0,360.0,-0.13,0.19,32.206176521402504,6.377890011955386,6.377890011955386
