time,baseline,rv,model_time,model,residuals
,-1.5798749003260957,,2459286.830541156,6.076535490719385,
,-1.5798749003260957,,2459287.5794431614,7.842073802929239,
,-1.5798749003260957,,2459288.328345166,-1.3545065316345057,
,-1.5798749003260957,,2459289.077247171,-8.607504629084673,
,-1.5798749003260957,,2459289.8261491763,-3.9194897566677107,
,-1.5798749003260957,,2459290.5750511815,6.2851693637295325,
,-1.5798749003260957,,2459291.323953186,7.706154658675472,
,-1.5798749003260957,,2459292.0728551913,-1.6413800137146972,
,-1.5798749003260957,,2459292.8217571964,-8.647633800522813,
,-1.5798749003260957,,2459293.570659201,-3.657015444577019,
,-1.5798749003260957,,2459294.3195612063,6.486755550940517,
,-1.5798749003260957,,2459295.0684632114,7.561596049831354,
,-1.5798749003260957,,2459295.8173652166,-1.9263426073519485,
,-1.5798749003260957,,2459296.5662672212,-8.678197847786691,
,-1.5798749003260957,,2459297.3151692264,-3.390377461733804,
,-1.5798749003260957,,2459298.0640712315,6.681062664843842,
,-1.5798749003260957,,2459298.812973236,7.408565695202186,
,-1.5798749003260957,,2459299.5618752413,-2.209079934380298,
,-1.5798749003260957,,2459300.3107772465,-8.699162376400764,
,-1.5798749003260957,,2459301.059679251,-3.1198701265146638,
,-1.5798749003260957,,2459301.8085812563,6.867867576787929,
,-1.5798749003260957,,2459302.5574832615,7.2472408748550645,
,-1.5798749003260957,,2459303.3063852666,-2.489280445184836,
,-1.5798749003260957,,2459304.0552872713,-8.710503294184573,
,-1.5798749003260957,,2459304.8041892764,-2.8457924169974076,
,-1.5798749003260957,,2459305.5530912816,7.046955734484677,
,-1.5798749003260957,,2459306.3019932862,7.077808224868513,
,-1.5798749003260957,,2459307.0508952914,-2.766635720549634,
,-1.5798749003260957,,2459307.7997972965,-8.712206844958295,
,-1.5798749003260957,,2459308.548699301,-2.568447709041564,
,-1.5798749003260957,,2459309.2976013063,7.218121388590688,
,-1.5798749003260957,,2459310.0465033115,6.900463477029392,
,-1.5798749003260957,,2459310.7954053166,-3.0408408022519673,
,-1.5798749003260957,,2459311.5443073213,-8.704269626144702,
,-1.5798749003260957,,2459312.2932093265,-2.2881433860468645,
,-1.5798749003260957,,2459313.0421113316,7.381167878382929,
,-1.5798749003260957,,2459313.7910133363,6.715411234771163,
,-1.5798749003260957,,2459314.5399153414,-3.3115944992303152,
,-1.5798749003260957,,2459315.2888173466,-8.686698599267453,
,-1.5798749003260957,,2459316.0377193512,-2.0051905586289234,
,-1.5798749003260957,,2459316.7866213564,7.535907852257184,
,-1.5798749003260957,,2459317.5355233615,6.5228646902989595,
,-1.5798749003260957,,2459318.2844253667,-3.5785997455615193,
,-1.5798749003260957,,2459319.0333273713,-8.659511091517826,
,-1.5798749003260957,,2459319.7822293765,-1.719903700641913,
,-1.5798749003260957,,2459320.5311313816,7.682163523777514,
,-1.5798749003260957,,2459321.2800333863,6.323045383252699,
,-1.5798749003260957,,2459322.0289353915,-3.841563832447663,
,-1.5798749003260957,,2459322.7778373966,-8.62273478485785,
,-1.5798749003260957,,2459323.5267394013,-1.432600318859943,
,-1.5798749003260957,,2459324.2756414064,7.819766871033862,
,-1.5798749003260957,,2459325.0245434116,6.116182897070482,
,-1.5798749003260957,,2459325.7734454167,-4.100198798110135,
,-1.5798749003260957,,2459326.5223474214,-8.576407699297771,
,-1.5798749003260957,,2459327.2712494265,-1.1436005839207344,
,-1.5798749003260957,,2459328.0201514317,7.948559866127894,
,-1.5798749003260957,,2459328.7690534364,5.9025145968848225,
,-1.5798749003260957,,2459329.5179554415,-4.354221643276422,
,-1.5798749003260957,,2459330.2668574466,-8.52057815741213,
,-1.5798749003260957,,2459331.0157594513,-0.853227003622901,
,-1.5798749003260957,,2459331.7646614565,8.068394654775483,
,-1.5798749003260957,,2459332.5135634616,5.682285322003332,
,-1.5798749003260957,,2459333.2624654667,-4.6033546880197385,
,-1.5798749003260957,,2459334.0113674714,-8.455304757236197,
,-1.5798749003260957,,2459334.7602694766,-0.5618040375760256,
,-1.5798749003260957,,2459335.5091714817,8.179133749255156,
,-1.5798749003260957,,2459336.2580734864,5.455747100233749,
,-1.5798749003260957,,2459337.0069754915,-4.847325795402489,
